#--------------------------------
# Ship Data Format
#  + Ship ID		함선 ID
#  + TextureKey		함선 텍스쳐 키(텍스쳐 이름)
#  + TextureTop		함선 Top 갯수
#  + TextureBody	함선 Body 갯수
#  + TextureBottom	함선 Bottom 갯수
#  + Ship Name		함선 고유이름
#  + Ship Type		함선 타입
#  + Unit Type		유닛 타입
#  + Max HP(DP)		체력
#  + Repair_Speed	수리 속도
#  + Rotate_Speed	회전 속도
#  + Accelerate_Speed	엔진 가속도
#  + Max_Speed		최고 속도
#  + Rader		시야 범위(감지 범위)
#  + Turret_Capacity	함포 갯수
#  + Turret_ID		함포 ID
#  + Aircraft_Capacity	항공기 탑재 갯수
#  + Performance	퍼포먼스 게이지
#  + Sailor		수병 숫자
#  + AntiAir_Capacity	대공포 갯수
#  + AntiAir_Range	대공포 사거리
#  + AntiAir_Damage	대공포 공격력
#  + Phase		함선 전투 Phase Number
#  + Mass		함선 질량(Weight)
#  + Skill		함선 스킬
#--------------------------------


BEGIN ShipData
	+ ShipID		63
	+ TextureKey		Battleship3
	+ TextureTop		1
	+ TextureBody		1
	+ TextureBottom		1
	+ Ship_Name		Battleship3
	+ Ship_Type		BB
	+ Max DP		37500
	+ Repair_Speed		937.5
	+ Rotate_Speed		0.29
	+ Accelerate_Speed	3.1
	+ Max_Speed		72
	+ Rader			1080
	+ Turret_Capacity	4
	+ Turret_ID		Cannon10
	+ Aircraft_Capacity	0
	+ Performance		10000
	+ Sailor		800
	+ AntiAir_Capacity	3
	+ AntiAir_Range		50
	+ AntiAir_Damage	20
	+ Phase			3
	+ Mass			50
	+ EvasionRadius		76
	+ ShipRankMark		9AD
	+ SunkenSound		Sunken_H
	+ Skill			NULL
ShipData END
