#--------------------------------
# Ship Data Format
#  + Ship ID		함선 ID
#  + TextureKey		함선 텍스쳐 키(텍스쳐 이름)
#  + TextureTop		함선 Top 갯수
#  + TextureBody	함선 Body 갯수
#  + TextureBottom	함선 Bottom 갯수
#  + Ship Name		함선 고유이름
#  + Ship Type		함선 타입
#  + Unit Type		유닛 타입
#  + Max HP(DP)		체력
#  + Repair_Speed	수리 속도
#  + Rotate_Speed	회전 속도
#  + Accelerate_Speed	엔진 가속도
#  + Max_Speed		최고 속도
#  + Rader		시야 범위(감지 범위)
#  + Turret_Capacity	함포 갯수
#  + Turret_ID		함포 ID
#  + Aircraft_Capacity	항공기 탑재 갯수
#  + Performance	퍼포먼스 게이지
#  + Sailor		수병 숫자
#  + AntiAir_Capacity	대공포 갯수
#  + AntiAir_Range	대공포 사거리
#  + AntiAir_Damage	대공포 공격력
#  + Phase		함선 전투 Phase Number
#  + Mass		함선 질량(Weight)
#  + Skill		함선 스킬
#--------------------------------


BEGIN ShipData
	+ ShipID		52
	+ TextureKey		Cruiser4
	+ TextureTop		1
	+ TextureBody		1
	+ TextureBottom		1
	+ Ship_Name		Cruiser4
	+ Ship_Type		CA
	+ Max DP		17500
	+ Repair_Speed		262.5
	+ Rotate_Speed		0.375
	+ Accelerate_Speed	3.25
	+ Max_Speed		71
	+ Rader			940
	+ Turret_Capacity	3
	+ Turret_ID		Cannon4
	+ Aircraft_Capacity	0
	+ Performance		5250
	+ Sailor		420
	+ AntiAir_Capacity	3
	+ AntiAir_Range		25
	+ AntiAir_Damage	30
	+ Phase			2
	+ Mass			34
	+ EvasionRadius		88
	+ ShipRankMark		7CP
	+ SunkenSound		Sunken_M
	+ Skill			NULL
ShipData END
